City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,el calafate,-50.3408,-72.2768,6.08,57,100,1.8,AR,1698368463
149,topolobampo,25.6,-109.05,25.48,63,0,4.07,MX,1698368464
150,newman,37.3138,-121.0208,18.34,48,22,0.89,US,1698368464
151,puerto el triunfo,13.2833,-88.55,26.77,84,100,1.74,SV,1698368464
152,codrington,-38.2667,141.9667,16.73,42,11,3.66,AU,1698368464
153,ola,59.5833,151.2833,-2.83,61,100,1.86,RU,1698368464
154,tazovsky,67.4667,78.7,-13.02,94,83,6.04,RU,1698367946
155,north bend,43.4065,-124.2243,12.95,62,0,4.63,US,1698368307
156,galesong,-5.3166,119.3661,30.01,50,7,1.53,ID,1698368465
157,alamos,27.0167,-108.9333,22.29,51,0,0.91,MX,1698368400
158,port elizabeth,-33.918,25.5701,17.16,88,75,11.32,ZA,1698368465
159,idabel,33.8957,-94.8263,20.31,76,100,3.09,US,1698368465
160,aquiraz,-3.9014,-38.3911,28.91,78,17,4.58,BR,1698368465
161,warman,52.3168,-106.5679,-3.05,58,100,6.17,CA,1698368466
162,murrells inlet,33.551,-79.0414,20.03,93,91,3.66,US,1698368466
163,shitanjing,39.2342,106.3439,11.7,32,2,1.65,CN,1698368466
164,cururupu,-1.8283,-44.8683,25.88,71,36,2.3,BR,1698368466
165,sisimiut,66.9395,-53.6735,-3.52,84,100,4.93,GL,1698368466
166,st. john's,47.5649,-52.7093,9.53,89,100,3.6,CA,1698368298
167,iwaki,37.05,140.8833,20.01,62,96,0.45,JP,1698368467
168,cambrai,50.1667,3.4167,10.68,95,100,0.99,FR,1698368467
169,phalodi,27.1333,72.3667,25.12,28,5,4.29,IN,1698368467
170,igarka,67.4667,86.5833,-10.17,86,23,7.89,RU,1698368467
171,blackwater,-23.5833,148.8833,24.27,20,0,5.12,AU,1698368467
172,mount gambier,-37.8333,140.7667,17.06,36,47,2.57,AU,1698368468
173,illizi,26.4833,8.4667,21.89,28,0,2.51,DZ,1698368468
174,sola,-13.8833,167.55,30.37,79,40,2.06,VU,1698368468
175,mount pearl,47.5166,-52.7813,9.07,88,100,3.6,CA,1698368468
176,tsiroanomandidy,-18.7667,46.0333,20.28,69,0,1.41,MG,1698368468
177,murzuq,25.9155,13.9184,23.78,30,0,2.66,LY,1698368468
178,qacha's nek,-30.1154,28.6894,15.39,20,20,2.71,LS,1698368468
179,sergeyevka,53.88,67.4158,-3.47,76,9,5.44,KZ,1698368469
180,broome,42.2506,-75.833,18.43,84,100,0.45,US,1698368469
181,general pico,-35.6566,-63.7568,13.8,93,100,1.45,AR,1698368469
182,hadibu,12.65,54.0333,26.38,83,100,4.18,YE,1698368469
183,prince rupert,54.3161,-130.3201,10.05,35,0,8.23,CA,1698368469
184,colares,38.7992,-9.4469,18.2,83,100,5.81,PT,1698368469
185,namtsy,62.7161,129.6658,-10.51,91,69,1.69,RU,1698368470
186,saint-joseph,-21.3667,55.6167,22.21,86,24,2.18,RE,1698368470
187,desaguadero,-16.5656,-69.0417,12.71,55,100,2.22,PE,1698368470
188,kruisfontein,-34.0033,24.7314,14.8,85,5,6.67,ZA,1698368470
189,mirador,-6.3708,-44.3631,28.24,43,43,0.94,BR,1698368470
190,elk city,35.412,-99.4043,22.12,53,0,7.72,US,1698368232
191,ust'-ilimsk,58.0006,102.6619,5.8,77,100,4.47,RU,1698368471
192,nemuro,43.3236,145.575,11.91,78,96,2.41,JP,1698368471
193,okhotsk,59.3833,143.3,-2.43,95,100,6.21,RU,1698368471
194,mantua,45.1667,10.7833,16.86,90,100,3.13,IT,1698368471
195,puerto leguizamo,-0.1934,-74.7819,24.66,86,88,1.19,CO,1698368471
196,greymouth,-42.4667,171.2,10.25,44,28,9.97,NZ,1698368471
197,talnakh,69.4865,88.3972,-13.77,94,22,1.02,RU,1698368363
198,utrik,11.2278,169.8474,28.27,77,76,5.41,MH,1698368472
199,dwarka,22.2394,68.9678,26.5,72,0,4.01,IN,1698368472
200,mana,5.6592,-53.7767,26.44,83,34,4.96,GF,1698368472
201,federal,-30.9547,-58.7833,15.59,73,0,2.63,AR,1698368472
202,santa comba dao,40.3986,-8.1316,13.73,84,75,0.89,PT,1698368473
203,waddan,29.1614,16.139,21.56,58,0,2.39,LY,1698368473
204,hithadhoo,-0.6,73.0833,27.22,78,3,8.35,MV,1698368473
205,ust-tsilma,65.441,52.1498,-6.88,100,100,0.89,RU,1698368473
206,invercargill,-46.4,168.35,4.45,78,97,11.18,NZ,1698368473
207,qaqortoq,60.7167,-46.0333,0.0,51,51,2.49,GL,1698368473
208,valparaiso,-33.0393,-71.6273,10.8,76,0,2.57,CL,1698368424
209,ad dilam,23.9915,47.1627,23.23,56,0,3.09,SA,1698368474
210,west island,-12.1568,96.8225,26.99,78,100,9.26,CC,1698368474
211,levin,-40.6333,175.275,14.28,62,35,7.61,NZ,1698368474
212,ust-nera,64.5667,143.2,-16.48,85,100,1.16,RU,1698368474
213,gereida,11.2811,25.1414,24.35,74,100,4.54,SD,1698368474
214,peniche,39.3558,-9.3811,18.09,87,100,7.22,PT,1698368475
215,ciudad lazaro cardenas,17.9583,-102.2,26.21,86,39,3.24,MX,1698368475
216,nova sintra,14.8667,-24.7167,24.91,79,100,8.49,CV,1698368475
217,touros,-5.1989,-35.4608,27.3,67,98,5.27,BR,1698368379
218,east london,-33.0153,27.9116,18.54,83,77,9.18,ZA,1698368475
219,montevideo,-34.8335,-56.1674,16.84,63,0,3.09,UY,1698368381
220,edd,13.9297,41.6925,29.85,60,100,3.91,ER,1698368476
221,oak bay,48.4496,-123.3026,9.67,63,20,2.57,CA,1698368476
222,mach,29.8637,67.3298,20.76,22,95,2.83,PK,1698368476
223,mitsamiouli,-11.3847,43.2844,26.03,82,7,4.82,KM,1698368476
224,tatarsk,55.219,75.9828,-3.54,70,100,9.01,RU,1698368476
225,krasnogorskoye,52.2953,86.1979,0.05,70,87,6.21,RU,1698368476
